message,nl,percentage_nl,en,percentage_en,comments,example,type,message_l2
"X=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,XX:1,YY:0.75",det noun:animate verb:transitive past det noun:thing,0.57,det noun:animate verb:transitive past det noun:thing,0.57,simple_past_transitive_active_75,,transitive_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,XX:1,XX-MOD,YY:0.5",det adj noun:animate verb:transitive past det noun:thing,0.34,det adj noun:animate verb:transitive past det noun:thing,0.34,simple_past_transitive_adj_active_50,,transitive_active,
"X=;X-MOD=;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,XX:1,XX-MOD,YY:0.75",det adj noun:animate verb:transitive past det noun:thing,0.34,det adj noun:animate verb:transitive past det noun:thing,0.34,simple_past_transitive_adj_active_75,,transitive_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,XX:1,YY:0.5",pron:subject verb:transitive past det noun:thing,0.57,pron:subject verb:transitive past det noun:thing,0.57,simple_past_transitive_pron_active_50,,transitive_active,
"X=pron;ACTION-LINKING=;Y=;EVENT-SEM=PAST,SIMPLE,XX:1,YY:0.75",pron:subject verb:transitive past det noun:thing,0.57,pron:subject verb:transitive past det noun:thing,0.57,simple_past_transitive_pron_active_75,,transitive_active,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PAST,SIMPLE,XX:0.5,YY:1",det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,simple_past_transitive_passive_50,,transitive_passive,
"Y=;ACTION-LINKING=;X=;EVENT-SEM=PAST,SIMPLE,XX:0.75,YY:1",det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det noun:animate,0.57,simple_past_transitive_passive_75,,transitive_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PAST,SIMPLE,XX:0.5,XX-MOD,YY:1",det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det adj noun:animate,0.34,det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det adj noun:animate,0.34,simple_past_transitive_adj_passive_50,,transitive_passive,
"Y=;ACTION-LINKING=;X=;X-MOD=;EVENT-SEM=PAST,SIMPLE,XX:0.75,XX-MOD,YY:1",det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det adj noun:animate,0.34,det noun:thing aux::past:perfect_pass:singular verb:transitive prf by det adj noun:animate,0.34,simple_past_transitive_adj_passive_75,,transitive_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PAST,SIMPLE,XX:0.5,YY:1",det noun:thing aux::past:perfect_pass:singular verb:transitive prf by pron:prep-object,0.57,det noun:thing aux::past:perfect_pass:singular verb:transitive prf by pron:prep-object,0.57,simple_past_transitive_pron_passive_50,,transitive_passive,
"Y=;ACTION-LINKING=;X=pron;EVENT-SEM=PAST,SIMPLE,XX:0.75,YY:1",det noun:thing aux::past:perfect_pass:singular verb:transitive prf by pron:prep-object,0.57,det noun:thing aux::past:perfect_pass:singular verb:transitive prf by pron:prep-object,0.57,simple_past_transitive_pron_passive_75,,transitive_passive,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.5",det noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.55,det noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.55,simple_present_benefactive_transative_po_50,,benef_trans,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.75",det noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.55,det noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.55,simple_present_benefactive_transative_po_75,,benef_trans,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.5",det adj noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.35,det adj noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.35,simple_present_benefactive_transative_adj_po_50,,benef_trans,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.75",det adj noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.35,det adj noun:animate verb:benef-trans det noun:thing for det noun:recipient,0.35,simple_present_benefactive_transative_adj_po_75,,benef_trans,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.5",pron:subject verb:benef-trans det noun:thing for det noun:recipient,0.55,pron:subject verb:benef-trans det noun:thing for det noun:recipient,0.55,simple_present_benefactive_transative_pron_po_50,,benef_trans,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.75",pron:subject verb:benef-trans det noun:thing for det noun:recipient,0.55,pron:subject verb:benef-trans det noun:thing for det noun:recipient,0.55,simple_present_benefactive_transative_pron_po_75,,benef_trans,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.5",det noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.55,det noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.55,simple_past_benefactive_transative_po_50,,benef_trans,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.75",det noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.55,det noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.55,simple_past_benefactive_transative_po_75,,benef_trans,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.5",det adj noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.35,det adj noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.35,simple_past_benefactive_transative_adj_po_50,,benef_trans,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.75",det adj noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.35,det adj noun:animate verb:benef-trans past det noun:thing for det noun:recipient,0.35,simple_past_benefactive_transative_adj_po_75,,benef_trans,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.5",pron:subject verb:benef-trans past det noun:thing for det noun:recipient,0.55,pron:subject verb:benef-trans past det noun:thing for det noun:recipient,0.55,simple_past_benefactive_transative_pron_po_50,,benef_trans,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.75",pron:subject verb:benef-trans past det noun:thing for det noun:recipient,0.55,pron:subject verb:benef-trans past det noun:thing for det noun:recipient,0.55,simple_past_benefactive_transative_pron_po_75,,benef_trans,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,XX,YY,DD,ZZ",det noun:animate aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,det noun:animate aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,present_progressive_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,det adj noun:animate aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,present_progressive_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PROGRESSIVE,XX,YY,DD,ZZ",pron:subject aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,pron:subject aux::present:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,present_progressive_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,XX,YY,DD,ZZ",det noun:animate aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,det noun:animate aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,past_progressive_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,det adj noun:animate aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.54,past_progressive_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,PROGRESSIVE,XX,YY,DD,ZZ",pron:subject aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,pron:subject aux::past:progressive:singular verb:cause-motion prg det noun:thing prep det noun:goal,0.92,past_progressive_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,XX,YY,DD,ZZ",det noun:animate aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,det noun:animate aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,present_perfect_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.54,det adj noun:animate aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.54,present_perfect_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,PERFECT,XX,YY,DD,ZZ",pron:subject aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,pron:subject aux::present:perfect:singular verb:cause-motion prf det noun:thing prep det noun:goal,0.92,present_perfect_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY,DD,ZZ",det noun:animate verb:cause-motion det noun:thing prep det noun:goal,0.92,det noun:animate verb:cause-motion det noun:thing prep det noun:goal,0.92,simple_present_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate verb:cause-motion det noun:thing prep det noun:goal,0.54,det adj noun:animate verb:cause-motion det noun:thing prep det noun:goal,0.54,simple_present_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY,DD,ZZ",pron:subject verb:cause-motion det noun:thing prep det noun:goal,0.92,pron:subject verb:cause-motion det noun:thing prep det noun:goal,0.92,simple_present_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY,DD,ZZ",det noun:animate verb:cause-motion past det noun:thing prep det noun:goal,0.92,det noun:animate verb:cause-motion past det noun:thing prep det noun:goal,0.92,simple_past_cause_motion,,cause_motion,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate verb:cause-motion past det noun:thing prep det noun:goal,0.54,det adj noun:animate verb:cause-motion past det noun:thing prep det noun:goal,0.54,simple_past_cause_motion_adj,,cause_motion,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY,DD,ZZ",pron:subject verb:cause-motion past det noun:thing prep det noun:goal,0.92,pron:subject verb:cause-motion past det noun:thing prep det noun:goal,0.92,simple_past_cause_motion_pron,,cause_motion,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PROGRESSIVE,XX,YY,DD,ZZ",det noun:animate aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,det noun:animate aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,present_progressive_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PROGRESSIVE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,det adj noun:animate aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,present_progressive_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PROGRESSIVE,XX,YY,DD,ZZ",pron:subject aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,pron:subject aux::present:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,present_progressive_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,PROGRESSIVE,XX,YY,DD,ZZ",det noun:animate aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,det noun:animate aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,past_progressive_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,PROGRESSIVE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,det adj noun:animate aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.54,past_progressive_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,PROGRESSIVE,XX,YY,DD,ZZ",pron:subject aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,pron:subject aux::past:progressive:singular verb:state-change prg det noun:container with noun:thing,0.92,past_progressive_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PERFECT,XX,YY,DD,ZZ",det noun:animate aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,det noun:animate aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,present_perfect_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PERFECT,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.54,det adj noun:animate aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.54,present_perfect_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,PERFECT,XX,YY,DD,ZZ",pron:subject aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,pron:subject aux::present:perfect:singular verb:state-change prf det noun:container with noun:thing,0.92,present_perfect_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,YY,DD,ZZ",det noun:animate verb:state-change det noun:container with noun:thing,0.92,det noun:animate verb:state-change det noun:container with noun:thing,0.92,simple_present_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate verb:state-change det noun:container with noun:thing,0.54,det adj noun:animate verb:state-change det noun:container with noun:thing,0.54,simple_present_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,YY,DD,ZZ",pron:subject verb:state-change det noun:container with noun:thing,0.92,pron:subject verb:state-change det noun:container with noun:thing,0.92,simple_present_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,YY,DD,ZZ",det noun:animate verb:state-change past det noun:container with noun:thing,0.92,det noun:animate verb:state-change past det noun:container with noun:thing,0.92,simple_past_state_change,,state_change,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY,DD,ZZ",det adj noun:animate verb:state-change past det noun:container with noun:thing,0.54,det adj noun:animate verb:state-change past det noun:container with noun:thing,0.54,simple_past_state_change_adj,,state_change,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,YY,DD,ZZ",pron:subject verb:state-change past det noun:container with noun:thing,0.92,pron:subject verb:state-change past det noun:container with noun:thing,0.92,simple_past_state_change_pron,,state_change,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:0.5,DD,ZZ:1",det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_50,,locative_alt_lt,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:0.75,DD,ZZ:1",det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_75,,locative_alt_lt,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.5",det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_50,,locative_alt_tl,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.75",det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_75,,locative_alt_tl,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,YY:0.5,DD,ZZ:1",det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_50,,locative_alt_lt,
"X=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,YY:0.75,DD,ZZ:1",det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,det noun:animate verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_75,,locative_alt_lt,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.5",det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_50,,locative_alt_tl,
"X=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.75",det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,det noun:animate verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_75,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY:0.5,DD,ZZ:1",det adj noun:animate verb:locative-alt det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt det noun:container with noun:thing,0.34,simple_present_locative_theme_50_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY:0.75,DD,ZZ:1",det adj noun:animate verb:locative-alt det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt det noun:container with noun:thing,0.34,simple_present_locative_theme_75_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.5",det adj noun:animate verb:locative-alt noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt noun:thing prep det noun:container,0.34,simple_present_theme_locative_50_adj,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.75",det adj noun:animate verb:locative-alt noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt noun:thing prep det noun:container,0.34,simple_present_theme_locative_75_adj,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY:0.5,DD,ZZ:1",det adj noun:animate verb:locative-alt past det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt past det noun:container with noun:thing,0.34,simple_past_locative_theme_50_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY:0.75,DD,ZZ:1",det adj noun:animate verb:locative-alt past det noun:container with noun:thing,0.34,det adj noun:animate verb:locative-alt past det noun:container with noun:thing,0.34,simple_past_locative_theme_75_adj,,locative_alt_lt,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.5",det adj noun:animate verb:locative-alt past noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt past noun:thing prep det noun:container,0.34,simple_past_theme_locative_50_adj,,locative_alt_tl,
"X=;X-MOD=;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,XX-MOD,YY:1,DD,ZZ:0.75",det adj noun:animate verb:locative-alt past noun:thing prep det noun:container,0.34,det adj noun:animate verb:locative-alt past noun:thing prep det noun:container,0.34,simple_past_theme_locative_75_adj,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:0.5,DD,ZZ:1",pron:subject verb:locative-alt det noun:container with noun:thing,0.57,pron:subject verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_50_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:0.75,DD,ZZ:1",pron:subject verb:locative-alt det noun:container with noun:thing,0.57,pron:subject verb:locative-alt det noun:container with noun:thing,0.57,simple_present_locative_theme_75_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.5",pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_50_pron,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PRESENT,SIMPLE,XX,YY:1,DD,ZZ:0.75",pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt noun:thing prep det noun:container,0.57,simple_present_theme_locative_75_pron,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,YY:0.5,DD,ZZ:1",pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_50_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Z=;D=;Y=;EVENT-SEM=PAST,SIMPLE,XX,YY:0.75,DD,ZZ:1",pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,pron:subject verb:locative-alt past det noun:container with noun:thing,0.57,simple_past_locative_theme_75_pron,,locative_alt_lt,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.5",pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_50_pron,,locative_alt_tl,
"X=pron;ACTION-LINKING=;Y=;D=;Z=;EVENT-SEM=PAST,SIMPLE,XX,YY:1,DD,ZZ:0.75",pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,pron:subject verb:locative-alt past noun:thing prep det noun:container,0.57,simple_past_theme_locative_75_pron,,locative_alt_tl,
